Title,Ingredients,Cuisine,Calories,Instructions
Fish's Barbecued Oysters,"1 teaspoon neutral-tasting olive oil, 1/4 pound canned San Marzano tomatoes, drained, 3 tablespoons minced white onion, 5 garlic cloves, 1 tablespoon kosher salt, 2 tablespoons brown sugar, 2 tablespoons cider vinegar, 1/4 teaspoon Asian fish sauce, 1 squeeze sriracha sauce, 2 tablespoons freshly ground horseradish, 1/4 pound (1 stick) organic unsalted butter, 2 dozen fresh oysters (see note), Sourdough bread",mediterranean,1969.99,"Start by gathering the following ingredients: 1 teaspoon neutral-tasting olive oil, 1/4 pound canned San Marzano tomatoes, drained, 3 tablespoons minced white onion, 5 garlic cloves, 1 tablespoon kosher salt, 2 tablespoons brown sugar, 2 tablespoons cider vinegar, 1/4 teaspoon Asian fish sauce, 1 squeeze sriracha sauce, 2 tablespoons freshly ground horseradish, 1/4 pound (1 stick) organic unsalted butter, 2 dozen fresh oysters (see note), Sourdough bread. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Sugar-Conscious, Pescatarian, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Pork-Free, Red-Meat-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Alcohol-Free. It contains approximately 1969.99 calories in total."
Barramundi Fish in Tamarind Broth (Sinigang na Isda),"4 oz tamarind paste (can be found in your asian foods section), 1 large onion, sliced, 1/4 cup fish sauce, plus extra to taste, 7 cups water or fish stock (vegetable stock also works), 3 tomatoes, quartered, 6 radishes, quartered, 4 6-oz fillets of fish (i used barramundi, but traditional milkfish or any firm white fish works beautifully), 5 stalks baby bok choy, 1 jalapeño or thai chili, sliced",south east asian,1403.37,"Start by gathering the following ingredients: 4 oz tamarind paste (can be found in your asian foods section), 1 large onion, sliced, 1/4 cup fish sauce, plus extra to taste, 7 cups water or fish stock (vegetable stock also works), 3 tomatoes, quartered, 6 radishes, quartered, 4 6-oz fillets of fish (i used barramundi, but traditional milkfish or any firm white fish works beautifully), 5 stalks baby bok choy, 1 jalapeño or thai chili, sliced. Prepare the dish categorized as a soup. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the soup hot. This dish is suitable for Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Alcohol-Free, No oil added, Sulfite-Free. It contains approximately 1403.37 calories in total."
Sicilian fish soup,"1 red onion, 2 sticks celery, ½ small bulb fennel, 2 cloves garlic, 1 red chilli , deseeded, 2 tablespoons olive oil , plus extra for drizzling, 1 glass dry white wine, 800 g chopped plum tomatoes or passata, ½ butternut squash , peeled and grated, 500 ml organic fish stock, 200 g salmon fillet , from sustainable sources, ask your fishmonger, skinned, 300 g halibut fillet , from sustainable sources, ask your fishmonger, skinned, 12 raw peeled prawns or langoustine tails , from sustainable sources, ask your fishmonger, ½ lemon, 1 large handful fresh flat-leaf parsley , chopped",american,1634.85,"Start by gathering the following ingredients: 1 red onion, 2 sticks celery, ½ small bulb fennel, 2 cloves garlic, 1 red chilli , deseeded, 2 tablespoons olive oil , plus extra for drizzling, 1 glass dry white wine, 800 g chopped plum tomatoes or passata, ½ butternut squash , peeled and grated, 500 ml organic fish stock, 200 g salmon fillet , from sustainable sources, ask your fishmonger, skinned, 300 g halibut fillet , from sustainable sources, ask your fishmonger, skinned, 12 raw peeled prawns or langoustine tails , from sustainable sources, ask your fishmonger, ½ lemon, 1 large handful fresh flat-leaf parsley , chopped. Prepare the dish categorized as a soup. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the soup hot. This dish is suitable for Paleo, Mediterranean, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Pork-Free, Red-Meat-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free. It contains approximately 1634.85 calories in total."
Easy Fish Pie,"⅓ cup (80ml) olive oil, 800 g firm white fish fillets, skin removed, chopped, 1 red onion, sliced, 2 cloves garlic, crushed, 2 tablespoons plain (all-purpose) flour, 250 g cherry tomatoes, 1 tablespoon store-bought horseradish cream, 1 cup (250ml) single (pouring) cream, ½ cup chopped flat-leaf parsley leaves, 3 thick slices sourdough bread, torn, 30 g butter, melted",american,3794.81,"Start by gathering the following ingredients: ⅓ cup (80ml) olive oil, 800 g firm white fish fillets, skin removed, chopped, 1 red onion, sliced, 2 cloves garlic, crushed, 2 tablespoons plain (all-purpose) flour, 250 g cherry tomatoes, 1 tablespoon store-bought horseradish cream, 1 cup (250ml) single (pouring) cream, ½ cup chopped flat-leaf parsley leaves, 3 thick slices sourdough bread, torn, 30 g butter, melted. Prepare the dish categorized as a desserts. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the desserts hot. This dish is suitable for Sugar-Conscious, Pescatarian, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 3794.81 calories in total."
Cod with Tomato and Orange,"1 tablespoon extra virgin olive oil, 1 medium yellow onion , thinly sliced, 1 cup green olives , pitted and halved, 2 tablespoons grated orange zest, 1 medium navel orange , peeled, segmented , membranes removed, 1 (28-ounce) can diced tomatoes , undrained, 1 teaspoon kosher salt, 1/4 teaspoon black pepper, 2 pounds cod fillets (or any firm white fish) , cut into 2-inch pieces, 1/4 cup fresh dill , chopped, or 1 tablespoon dried dill",italian,1291.25,"Start by gathering the following ingredients: 1 tablespoon extra virgin olive oil, 1 medium yellow onion , thinly sliced, 1 cup green olives , pitted and halved, 2 tablespoons grated orange zest, 1 medium navel orange , peeled, segmented , membranes removed, 1 (28-ounce) can diced tomatoes , undrained, 1 teaspoon kosher salt, 1/4 teaspoon black pepper, 2 pounds cod fillets (or any firm white fish) , cut into 2-inch pieces, 1/4 cup fresh dill , chopped, or 1 tablespoon dried dill. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Keto-Friendly, Pescatarian, Mediterranean, DASH, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 1291.25 calories in total."
Fish Stew,"1/3 cup (75 mL) olive oil, 1 large onion, thinly sliced, A few threads saffron, Salt and freshly ground black pepper, 4 cloves garlic, finely chopped, 8 cups (4 L) hot fish stock (see Notes), 1 cup (250 mL) dry white wine, 1 can (28 oz/796 mL) Italian plum tomatoes, roughly chopped, plus 1/3 cup (75 mL) of their juice, 3 lbs (1.5 kg) assorted fish (such as monkfish, halibut, red snapper, red mullet, sea bass or cod fillets), cut into large chunks, 8 oz (250 g) mussels or clams, scrubbed and debearded; discard any with damaged shells, 8 oz (250 g) large shrimp (fresh or thawed from frozen), peeled and deveined, ¼ cup (50 mL) chopped flat-leaf parsley, 8 thick slices rustic country style bread, brushed with oil, oven-toasted",french,3786.65,"Start by gathering the following ingredients: 1/3 cup (75 mL) olive oil, 1 large onion, thinly sliced, A few threads saffron, Salt and freshly ground black pepper, 4 cloves garlic, finely chopped, 8 cups (4 L) hot fish stock (see Notes), 1 cup (250 mL) dry white wine, 1 can (28 oz/796 mL) Italian plum tomatoes, roughly chopped, plus 1/3 cup (75 mL) of their juice, 3 lbs (1.5 kg) assorted fish (such as monkfish, halibut, red snapper, red mullet, sea bass or cod fillets), cut into large chunks, 8 oz (250 g) mussels or clams, scrubbed and debearded; discard any with damaged shells, 8 oz (250 g) large shrimp (fresh or thawed from frozen), peeled and deveined, ¼ cup (50 mL) chopped flat-leaf parsley, 8 thick slices rustic country style bread, brushed with oil, oven-toasted. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Mediterranean, Dairy-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Pork-Free, Red-Meat-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free. It contains approximately 3786.65 calories in total."
The Best Slow-Cooked Tomato Sauce Recipe,"4 (28-ounce) cans whole peeled tomatoes, preferably imported D.O.P. San Marzano tomatoes (see note above), 1/4 cup extra-virgin olive oil, plus more for finishing., 4 tablespoons butter, 8 cloves garlic, minced (about 3 tablespoons), 1 teaspoon red pepper flakes, 1 tablespoon dried oregano, 1 medium carrot, cut into large chunks, 1 medium onion, split in half, 1 large stem fresh basil, Kosher salt and freshly ground black pepper, 1 tablespoon fish sauce (optional), 1/2 cup minced fresh parsley or basil leaves (or a mix of the two)",american,1114.73,"Start by gathering the following ingredients: 4 (28-ounce) cans whole peeled tomatoes, preferably imported D.O.P. San Marzano tomatoes (see note above), 1/4 cup extra-virgin olive oil, plus more for finishing., 4 tablespoons butter, 8 cloves garlic, minced (about 3 tablespoons), 1 teaspoon red pepper flakes, 1 tablespoon dried oregano, 1 medium carrot, cut into large chunks, 1 medium onion, split in half, 1 large stem fresh basil, Kosher salt and freshly ground black pepper, 1 tablespoon fish sauce (optional), 1/2 cup minced fresh parsley or basil leaves (or a mix of the two). Prepare the dish categorized as a condiments and sauces. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the condiments and sauces hot. This dish is suitable for Sugar-Conscious, Kidney-Friendly, Keto-Friendly, Pescatarian, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Alcohol-Free, Sulfite-Free, Kosher, Immuno-Supportive. It contains approximately 1114.73 calories in total."
Fish Hash (Minilla),"2 quarts water, 4 unpeeled garlic cloves, 1 small unpeeled white onion, left whole, plus 1 large white onion, finely chopped, 6 bay leaves, Salt, 2 pounds firm-fleshed white fish fillets, such as tilefish, red snapper or grouper, cut into 4-inch chunks, 2 tablespoons pure olive oil, 2 tablespoons vegetable oil, 2 medium tomatoes, finely chopped, 1/2 cup coarsely chopped flat-leaf parsley, 1/2 cup coarsely chopped mint, 1 teaspoon thyme leaves, 1/2 cup finely chopped green olives, 1/3 cup chopped pickled jalapeño chiles, 2 teaspoons Garlic Seasoning (Ajo Preparado)",american,1627.11,"Start by gathering the following ingredients: 2 quarts water, 4 unpeeled garlic cloves, 1 small unpeeled white onion, left whole, plus 1 large white onion, finely chopped, 6 bay leaves, Salt, 2 pounds firm-fleshed white fish fillets, such as tilefish, red snapper or grouper, cut into 4-inch chunks, 2 tablespoons pure olive oil, 2 tablespoons vegetable oil, 2 medium tomatoes, finely chopped, 1/2 cup coarsely chopped flat-leaf parsley, 1/2 cup coarsely chopped mint, 1 teaspoon thyme leaves, 1/2 cup finely chopped green olives, 1/3 cup chopped pickled jalapeño chiles, 2 teaspoons Garlic Seasoning (Ajo Preparado). Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Sugar-Conscious, Keto-Friendly, Pescatarian, Mediterranean, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 1627.11 calories in total."
Sri Lankan Fish Curry,"1 Tbsp. tamarind pulp or 1½ Tbsp. tamarind paste, One 13-oz. can full-fat coconut milk (1½ cups), Kosher salt, 4 Tbsp. vegetable oil, 3 Tbsp. fish curry masala, 1 Tbsp. ground coriander, 1½ tsp. black mustard seeds, 1½ tsp. cumin seeds, 1½ tsp. fennel seeds, 1 tsp. fenugreek seeds, 12 fresh curry leaves (or substitute thawed frozen), 2 small green chiles, such as jalapeños or serranos, seeded and thinly sliced (optional), 2 medium onions, thinly sliced (2 cups), 3 Tbsp. ginger-garlic paste, ½ lb. eggplant (1–2 small), cut into ½-in.-thick wedges (2¼ cups), 4 oz. okra, stems removed and cut into 2-in. pieces (1 packed cup), 3 small tomatoes, quartered (2 cups), 2 lb. meaty fish, such as bluefish, cod, mackerel, or salmon, cut into 3-in. pieces, 3 Tbsp. coarsely chopped cilantro leaves and tender stems, for garnish, Steamed rice, dosas, or naan, for serving","indian, south east asian",2941.61,"Start by gathering the following ingredients: 1 Tbsp. tamarind pulp or 1½ Tbsp. tamarind paste, One 13-oz. can full-fat coconut milk (1½ cups), Kosher salt, 4 Tbsp. vegetable oil, 3 Tbsp. fish curry masala, 1 Tbsp. ground coriander, 1½ tsp. black mustard seeds, 1½ tsp. cumin seeds, 1½ tsp. fennel seeds, 1 tsp. fenugreek seeds, 12 fresh curry leaves (or substitute thawed frozen), 2 small green chiles, such as jalapeños or serranos, seeded and thinly sliced (optional), 2 medium onions, thinly sliced (2 cups), 3 Tbsp. ginger-garlic paste, ½ lb. eggplant (1–2 small), cut into ½-in.-thick wedges (2¼ cups), 4 oz. okra, stems removed and cut into 2-in. pieces (1 packed cup), 3 small tomatoes, quartered (2 cups), 2 lb. meaty fish, such as bluefish, cod, mackerel, or salmon, cut into 3-in. pieces, 3 Tbsp. coarsely chopped cilantro leaves and tender stems, for garnish, Steamed rice, dosas, or naan, for serving. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Pescatarian, Mediterranean, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 2941.61 calories in total."
Crispy Fish with Charred Corn and Sun Gold Salsa Recipe,"4 boneless white-fleshed fish fillets, 6 to 8 ounces each (such as whitefish or tilapia), 3 tablespoons fresh juice from about 3 limes, plus more to taste, Kosher salt, 4 1/2 tablespoons canola oil, divided, 3 cups fresh corn kernels, from about 4 ears corn, 3 cups Sun Gold tomatoes, quartered, 1 to 2 jalapeños, stemmed, seeded, chopped (about 3 tablespoons), 1/2 large white onion, chopped (about 3/4 cup), 2 medium garlic cloves, minced (about 2 teaspoons), Handful fresh cilantro, chopped, 1/2 cup flour, 3 tablespoons butter",south american,2504.3,"Start by gathering the following ingredients: 4 boneless white-fleshed fish fillets, 6 to 8 ounces each (such as whitefish or tilapia), 3 tablespoons fresh juice from about 3 limes, plus more to taste, Kosher salt, 4 1/2 tablespoons canola oil, divided, 3 cups fresh corn kernels, from about 4 ears corn, 3 cups Sun Gold tomatoes, quartered, 1 to 2 jalapeños, stemmed, seeded, chopped (about 3 tablespoons), 1/2 large white onion, chopped (about 3/4 cup), 2 medium garlic cloves, minced (about 2 teaspoons), Handful fresh cilantro, chopped, 1/2 cup flour, 3 tablespoons butter. Prepare the dish categorized as a starter. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the starter hot. This dish is suitable for Pescatarian, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 2504.3 calories in total."
Fish in Curried Coconut Sauce,"1½ teaspoons vegetable oil, 1 cup chopped onions, 2 cloves garlic, minced, 2 teaspoons curry powder, 1 teaspoon finely grated fresh ginger, One 14½-ounce can whole tomatoes, with juice, 1 tablespoon lemon juice, 1 teaspoon kosher salt, ¼ teaspoon freshly ground pepper, 2 tablespoons shredded sweetened coconut, 1 to 1 1/3 pounds thick fish fillets, cut into 1-inch pieces",south east asian,786.63,"Start by gathering the following ingredients: 1½ teaspoons vegetable oil, 1 cup chopped onions, 2 cloves garlic, minced, 2 teaspoons curry powder, 1 teaspoon finely grated fresh ginger, One 14½-ounce can whole tomatoes, with juice, 1 tablespoon lemon juice, 1 teaspoon kosher salt, ¼ teaspoon freshly ground pepper, 2 tablespoons shredded sweetened coconut, 1 to 1 1/3 pounds thick fish fillets, cut into 1-inch pieces. Prepare the dish categorized as a condiments and sauces. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the condiments and sauces hot. This dish is suitable for Keto-Friendly, Pescatarian, Mediterranean, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 786.63 calories in total."
Parchment-Baked Fish and Tomatoes,"1 (8-oz.) package haricots verts (thin green beans), 1 red bell pepper, thinly sliced, ½ small red onion, thinly sliced, 2 large tomatoes, chopped, 2 tablespoons drained capers, ⅓ cup green olives, quartered, Parchment paper, 4 (4- to 5-oz.) fresh white fish fillets (such as snapper, triggerfish, flounder, or grouper), 1 teaspoon table salt, ½ teaspoon freshly ground black pepper, 2 tablespoons olive oil, 1 lemon, quartered, ¼ cup torn fresh basil",south east asian,787.61,"Start by gathering the following ingredients: 1 (8-oz.) package haricots verts (thin green beans), 1 red bell pepper, thinly sliced, ½ small red onion, thinly sliced, 2 large tomatoes, chopped, 2 tablespoons drained capers, ⅓ cup green olives, quartered, Parchment paper, 4 (4- to 5-oz.) fresh white fish fillets (such as snapper, triggerfish, flounder, or grouper), 1 teaspoon table salt, ½ teaspoon freshly ground black pepper, 2 tablespoons olive oil, 1 lemon, quartered, ¼ cup torn fresh basil. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Keto-Friendly, Pescatarian, Paleo, Mediterranean, DASH, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 787.61 calories in total."
Seared Fish with Artichoke Relish,"3 tbsp. olive oil, 1 medium onion, Kosher salt and pepper, 2 stalk celery, 2 clove garlic, 1 can artichoke hearts, ¼ c. pitted green olives, 1 tbsp. red wine vinegar, ½ c. fresh flat-leaf parsley, ¼ c. roasted almonds, 4 piece skinless white fish fillets (such as cod, striped bass, halibut or tilapia), 1 c. couscous, ¼ c. tomato sauce",mediterranean,1607.81,"Start by gathering the following ingredients: 3 tbsp. olive oil, 1 medium onion, Kosher salt and pepper, 2 stalk celery, 2 clove garlic, 1 can artichoke hearts, ¼ c. pitted green olives, 1 tbsp. red wine vinegar, ½ c. fresh flat-leaf parsley, ¼ c. roasted almonds, 4 piece skinless white fish fillets (such as cod, striped bass, halibut or tilapia), 1 c. couscous, ¼ c. tomato sauce. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Sugar-Conscious, Pescatarian, Mediterranean, Dairy-Free, Egg-Free, Peanut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 1607.81 calories in total."
Wedding Fish Soup,"1 pound firm fleshed white fish, cut in 1"" chunks, 12 shrimp, uncooked in shell (30), 12 sea scallops, small, 1 onion, small, chopped, 3 garlic cloves, smashed and roughly chopped, 3 celery ribs, diced, 1 14.5 oz can diced tomatoes w/ juice, 4 cups chicken stock, 1 cup dry white wine, 1 teaspoon fresh thyme, 2 bay leaves, 1 rosemary sprig, 1/2 fennel bulb, thin sliced then chopped (reserve fronds for garnish), 2 tablespoons prepared chunky style salsa, 1/2 teaspoon red pepper flakes, to taste, salt and pepper to taste, 1 teaspoon pernod, optional, 2 tablespoons extra virgin olive oil",south east asian,1547.2,"Start by gathering the following ingredients: 1 pound firm fleshed white fish, cut in 1"" chunks, 12 shrimp, uncooked in shell (30), 12 sea scallops, small, 1 onion, small, chopped, 3 garlic cloves, smashed and roughly chopped, 3 celery ribs, diced, 1 14.5 oz can diced tomatoes w/ juice, 4 cups chicken stock, 1 cup dry white wine, 1 teaspoon fresh thyme, 2 bay leaves, 1 rosemary sprig, 1/2 fennel bulb, thin sliced then chopped (reserve fronds for garnish), 2 tablespoons prepared chunky style salsa, 1/2 teaspoon red pepper flakes, to taste, salt and pepper to taste, 1 teaspoon pernod, optional, 2 tablespoons extra virgin olive oil. Prepare the dish categorized as a soup. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the soup hot. This dish is suitable for Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Pork-Free, Red-Meat-Free, Mustard-Free, Sesame-Free, Lupine-Free. It contains approximately 1547.2 calories in total."
White Fish Escabeche Tacos,"Salt and freshly ground pepper, six 6-ounce thin fillets of white flakey fish (Alaska cod, black cod, sole, rockfish, and pollock), cut into 3-inch pieces, 1/2 cup flour, for dredging, 3/4 cup olive oil, divided, 1 large sweet onion, julienned, 2 large garlic cloves, thinly sliced, 2 carrots, julienned, 2 red bell peppers, seeded and julienned, 1 yellow bell pepper, seeded and julienned, 1 cup sherry vinegar or good quality white vinegar, 1 jalapeño or Fresno chile, sliced in thin rings (seeded if you are spice wimp like me), 2 bay leaves, 6 allspice berries, 1/4 cup roughly chopped parsley, 18 small corn or flour tortillas, for serving, chopped fresh tomato, for serving, sour cream or Greek yogurt, for serving",mexican,4044.98,"Start by gathering the following ingredients: Salt and freshly ground pepper, six 6-ounce thin fillets of white flakey fish (Alaska cod, black cod, sole, rockfish, and pollock), cut into 3-inch pieces, 1/2 cup flour, for dredging, 3/4 cup olive oil, divided, 1 large sweet onion, julienned, 2 large garlic cloves, thinly sliced, 2 carrots, julienned, 2 red bell peppers, seeded and julienned, 1 yellow bell pepper, seeded and julienned, 1 cup sherry vinegar or good quality white vinegar, 1 jalapeño or Fresno chile, sliced in thin rings (seeded if you are spice wimp like me), 2 bay leaves, 6 allspice berries, 1/4 cup roughly chopped parsley, 18 small corn or flour tortillas, for serving, chopped fresh tomato, for serving, sour cream or Greek yogurt, for serving. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Pescatarian, Mediterranean, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 4044.98 calories in total."
